Date,Open,High,Low,Close,Adj Close,Volume
2022-10-01,1328.193726,1332.516479,1306.102539,1311.644409,1311.644409,6227961237
2022-10-02,1311.753418,1316.330078,1275.336060,1276.093506,1276.093506,7578351650
2022-10-03,1276.163452,1326.554443,1271.150879,1323.439209,1323.439209,10153070907
2022-10-04,1323.278320,1364.970947,1320.076660,1362.126587,1362.126587,10139774963
2022-10-05,1361.972900,1362.451782,1320.855103,1352.837158,1352.837158,9774451820
2022-10-06,1352.806641,1380.404907,1349.449951,1351.709473,1351.709473,12033514861
2022-10-07,1351.836426,1359.328125,1321.746094,1332.516968,1332.516968,10061619355
2022-10-08,1332.371338,1335.954834,1307.072998,1315.500488,1315.500488,5804676208
2022-10-09,1315.460205,1327.668823,1309.344604,1322.604248,1322.604248,5486230123
2022-10-10,1322.618652,1335.662720,1291.337646,1291.337646,1291.337646,8794491050
